Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"__scrt_common_main",1,99.75,17.55,"8,433.93","1,483.56","Project_Valerian.exe",
"`vector constructor iterator'","8,775",20.09,11.70,0.63,0.11,"Project_Valerian.exe",
"_RTC_CheckEsp","10,451,340",9.44,9.44,0.00,0.00,"Project_Valerian.exe",
"Global_Service_Locator::get_MB_Pointer","4,142,012",4.66,4.66,0.00,0.00,"Project_Valerian.exe",
"Spritesheet::Sprite_Instructions::Sprite_Instructions","3,236,000",3.77,3.77,0.00,0.00,"Project_Valerian.exe",
"init",1,2.90,2.90,245.23,245.23,"Project_Valerian.exe",
"Spritesheet::Spritesheet",809,19.96,2.32,2.09,0.24,"Project_Valerian.exe",
"Render_Component::Check_For_Messages",605,10.60,2.27,1.48,0.32,"Project_Valerian.exe",
"std::_Tmap_traits<Coordinate,Tile,std::less<Coordinate>,std::allocator<std::pair<Coordinate const ,Tile> >,0>::_Kfn<Coordinate const ,Tile>","187,459",2.10,2.10,0.00,0.00,"Project_Valerian.exe",
"operator new","72,774",2.05,2.05,0.00,0.00,"Project_Valerian.exe",
"Custom_Message::Read_Message","2,861,634",1.86,1.86,0.00,0.00,"Project_Valerian.exe",
"std::_String_alloc<std::_String_base_types<char,std::allocator<char> > >::_Orphan_all","106,419",2.09,1.83,0.00,0.00,"Project_Valerian.exe",
"close",1,1.60,1.60,135.29,135.29,"Project_Valerian.exe",
"std::_String_alloc<std::_String_base_types<char,std::allocator<char> > >::_Getal","124,323",1.61,1.60,0.00,0.00,"Project_Valerian.exe",
"std::_Debug_lt_pred<std::less<Coordinate> const &,Coordinate const &,Coordinate const &>","193,574",3.82,1.55,0.00,0.00,"Project_Valerian.exe",
"Object::Collect_Bus_Messages",605,18.35,1.51,2.56,0.21,"Project_Valerian.exe",
"AI_Movement_Component::Check_For_Messages",605,1.97,1.46,0.28,0.20,"Project_Valerian.exe",
"std::_String_alloc<std::_String_base_types<char,std::allocator<char> > >::_Myproxy","314,154",2.75,1.34,0.00,0.00,"Project_Valerian.exe",
"AI_Rel_Component::Check_For_Messages",605,1.37,1.31,0.19,0.18,"Project_Valerian.exe",
"Render_Component::Check_Tile_Update_Message","364,815",4.32,1.27,0.00,0.00,"Project_Valerian.exe",
